"nomeMaquina";"nomeComponente";"nomeMetrica";"unidadeDeMedida";"dataColeta";"valorLeitura"
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:15:02";6.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:15:01";12.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:59";9.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:58";13.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:56";15.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:55";16.2
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:54";11.3
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:52";12.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:51";6.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:49";14.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:48";16.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:46";47.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:45";12.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:44";26.3
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:42";10.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:41";11.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:39";14.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:38";15.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:36";5.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:35";12.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:33";15.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:32";8.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:31";10.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:29";13.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:28";14.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:26";14.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:25";13.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:23";9.2
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:22";11.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:20";14.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:19";9.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:18";14.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:16";8.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:15";12.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:13";7.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:12";9.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:10";16.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:09";9.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:07";9.0
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:06";10.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:05";8.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:03";6.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:02";7.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:14:00";14.1
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:59";21.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:58";10.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:56";27.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:55";17.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:53";12.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:52";29.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:50";12.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:49";41.6
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:47";18.5
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:46";17.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:45";41.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:43";21.3
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:42";29.8
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:40";14.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:39";11.7
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:37";11.4
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:36";11.9
"Servidor-SPTECH";"cpu";"cpu_Utilizacao";"%";"2022-11-01 12:13:34";9.9
