"nomeMaquina";"nomeComponente";"nomeMetrica";"unidadeDeMedida";"dataColeta";"valorLeitura"
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:23";5.99
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:21";5.99
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:19";5.92
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:18";5.92
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:16";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:14";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:13";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:11";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:09";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:08";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:06";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:04";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:03";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:01";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:52:00";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:58";5.92
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:56";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:55";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:53";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:52";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:50";5.91
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:48";5.9
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:46";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:45";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:43";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:42";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:40";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:38";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:37";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:35";5.89
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:33";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:32";5.9
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:30";5.88
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:29";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:27";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:26";5.87
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:24";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:22";5.87
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:21";5.87
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:19";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:17";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:16";5.86
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:14";5.87
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:13";5.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:11";5.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:09";5.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:08";5.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:06";5.84
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:05";5.84
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:03";5.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:01";5.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:51:00";5.84
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:58";5.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:56";5.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:55";5.83
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:53";5.8
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:51";5.87
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:50";6.03
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:48";6.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:47";6.03
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:45";6.04
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:43";6.04
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:42";6.06
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:40";6.07
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:39";6.07
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:37";6.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:35";6.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:34";6.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:32";6.05
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:30";6.28
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:28";6.57
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:27";6.56
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:25";6.81
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:23";6.81
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:22";6.82
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:20";6.85
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:18";6.78
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:17";6.9
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:15";7.15
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:13";7.25
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:11";7.26
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:09";6.92
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:07";6.58
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:05";6.59
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:04";6.74
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:02";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:50:00";6.76
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:58";6.56
"Servidor-SPTECH";"ram";"ram_Usada";"GB";"2022-11-03 09:49:56";6.56
